"Alone","Copartisans","Opposition","Name","State","District","MarVicGen","MarVicPrim","MADemVotePresidential","RedistYear","PercDelegationSameParty","DeviationFromMedian","Congress","Committee Chair","Committee Ranking Member","Lost","Ran for Higher Office","Retired"
0.06,0.5,0.44,"BROOMFIELDWILLIAMS","MI",18,0.92,1.71,4.03,0,0.4,0.8,100,0,1,0,0,0
0.04,0.43,0.53,"BROOMFIELDWILLIAMS","MI",18,1.05,1.71,4.1,0,0.4,0.83,101,0,1,0,0,0
0.01,0.57,0.43,"BROOMFIELDWILLIAMS","MI",18,0.63,1.71,4.12,0,0.4,0.8,102,0,1,0,0,1
0.57,0.28,0.14,"BROYHILLJOELT","VA",10,0.24,1.71,4.11,0,0.47,0.55,93,0,0,1,0,0
0.21,0.59,0.2,"BURKEJAMESA","MA",11,1.93,1.71,4.69,0,0.6,0.99,93,0,0,0,0,0
0.24,0.61,0.15,"BURKEJAMESA","MA",11,1.93,0.84,4.64,0,0.67,1.02,94,0,0,0,0,0
0.21,0.61,0.19,"BURKEJAMESA","MA",11,0.73,0.25,4.63,0,0.67,1.07,95,0,0,0,0,1
0.17,0.46,0.36,"BURLESONOMAR","TX",17,1.93,1.71,3.72,0,1.2,0.31,93,0,0,0,0,0
0.16,0.47,0.37,"BURLESONOMAR","TX",17,1.93,1.71,3.58,0,1.33,0.32,94,0,0,0,0,0
0.13,0.55,0.31,"BURLESONOMAR","TX",17,1.93,1.71,3.64,0,1.4,0.33,95,0,0,0,0,1
0.2,0.5,0.3,"CASEYBOB","TX",22,0.8,0.76,3.65,0,1.2,0.02,93,0,0,0,0,0
0.18,0.58,0.24,"CASEYBOB","TX",22,0.81,0.56,3.47,0,1.33,0.02,94,0,0,0,0,1
0.32,0.43,0.24,"CEDERBERGELFORDA","MI",10,0.71,1.08,4.29,0,0.8,0.91,93,0,1,0,0,0
0.24,0.44,0.33,"CEDERBERGELFORDA","MI",10,0.15,0.94,4.31,0,0.47,0.94,94,0,1,0,0,0
0.09,0.5,0.4,"CEDERBERGELFORDA","MI",10,0.27,1.71,4.33,0,0.53,0.98,95,0,1,1,0,0
0.41,0.39,0.2,"CHAMBERLAINCHARLESE","MI",6,0.02,0.41,4.08,0,0.8,0.68,93,0,0,0,0,1
0.21,0.55,0.24,"CLARKFRANKM","PA",25,0.23,1.71,4.07,0,0.87,0.72,93,0,0,1,0,0
0.48,0.32,0.19,"COLLIERHAROLDR","IL",6,0.43,1.71,3.27,0,0.87,1.02,93,0,0,0,0,1
0.17,0.35,0.48,"CONTESILVIOO","MA",1,1.93,1.71,3.5,0,0.2,0.06,93,0,0,0,0,0
0.19,0.31,0.5,"CONTESILVIOO","MA",1,0.82,1.71,3.5,0,0.13,0.07,94,0,1,0,0,0
0.24,0.28,0.48,"CONTESILVIOO","MA",1,0.53,1.71,3.48,0,0.13,0.07,95,0,1,0,0,0
0.16,0.31,0.53,"CONTESILVIOO","MA",1,1.93,1.71,3.45,0,0.13,0.07,96,0,1,0,0,0
